number,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3041,315FrAki9HoxEdG8CQuZhD,The Killers,Mirando las nubes,Mr. Brightside,0,223973,False,0.344,0.931,1,-3.759,1,0.0783,0.00104,0.0,0.0903,0.251,148.104,4,alternative
3042,2QLFTiSNgt6cT3aQdeGFhd,The Killers;Ryan Pardey,Home At Christmas,Don't Shoot Me Santa,0,245106,False,0.588,0.847,8,-4.164,1,0.0705,0.0601,0.0,0.307,0.662,120.041,4,alternative
3043,2S3G868WlDZNtfwZiDKPRx,The Killers;Ryan Pardey,Alternative Christmas 2022,Don't Shoot Me Santa,0,245106,False,0.588,0.847,8,-4.164,1,0.0705,0.0601,0.0,0.307,0.662,120.041,4,alternative
3044,77s65ayZ3gXbqMV8jKH1A3,The Killers;Ryan Pardey,Alternative Christmas 2022,Don't Shoot Me Santa,0,245106,False,0.588,0.847,8,-4.164,1,0.0705,0.0601,0.0,0.307,0.662,120.041,4,alternative
3045,7GEQkaJPZmph6xtzXFNWxn,The Killers,Alternative Christmas 2022,Joy Ride - Night Version,0,436413,False,0.666,0.935,0,-4.563,1,0.0445,0.00285,0.781,0.352,0.69,118.999,4,alternative
3046,3CKJz2XmcRBskVxbN3pit2,Slipknot,Metal,Duality,0,252613,False,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000301,0.204,0.194,143.79,4,alternative
3047,1c9MeAa2tLEoZl5osXf5Ts,Red Hot Chili Peppers,Kick It,Fire - Remastered,1,123800,True,0.421,0.986,11,-1.795,0,0.152,0.00482,0.0,0.295,0.263,105.83,4,alternative
3048,0VFk1Ofc6X7QHdVC9T71sK,Slipknot,Rock Brandneu,The Dying Song (Time to Sing),4,203586,False,0.516,0.991,11,-2.587,0,0.126,0.000467,4.66e-05,0.327,0.402,95.017,4,alternative
3049,02ocOpp3OlYjjFvhvBDljE,Slipknot,Metal Lives!,Duality,0,252613,False,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000301,0.204,0.194,143.79,4,alternative
3050,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,False,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alternative
3051,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,78,213706,False,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alternative
3052,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,False,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alternative
3053,4wfyFIRnxdIN0v4OGtXcX3,Linkin Park,Minutes to Midnight,What I've Done,58,205613,False,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4,alternative
3054,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,83,199080,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4,alternative
3055,46ZskDsXyj6SY4ILqw1XvK,Oliver Tree;Robin Schulz,Pop Hits Now,Miss You,0,206000,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4,alternative
3056,7daBAa22M7ygDPG1oehs8o,Oliver Tree;Robin Schulz,Daily Pop Mix,Miss You,0,206000,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4,alternative
3057,35dGLgPbz4j896kxOaVS27,Oliver Tree;Robin Schulz,Upbeat Pop,Miss You,0,206000,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4,alternative
3058,47U8UsDT7LHPkZ2Jm4qnvm,Oliver Tree,20's Rock,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
3059,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alternative
3060,6NDhsCV7nxJeDsOpM1cPUk,Oliver Tree,Top of the Rock,I Hate You,4,162877,False,0.737,0.67,9,-6.448,1,0.0985,0.00474,0.0,0.0922,0.525,75.981,4,alternative
3061,1Pw6eI2cLqAFc6HkpXt38i,Oliver Tree,Tek It - New Noise,I Hate You,3,162877,False,0.737,0.67,9,-6.448,1,0.0985,0.00474,0.0,0.0922,0.525,75.981,4,alternative
3062,4JPIT5G0JnCL4JUWoIGGG3,Oliver Tree,Rock - Best of 2022,I Hate You,4,162877,False,0.737,0.67,9,-6.448,1,0.0985,0.00474,0.0,0.0922,0.525,75.981,4,alternative
3063,5DCpa5sx8KAHUbbMf4Ug3W,Oliver Tree,The State of Pop,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
3064,1c8XAD2VT1O68YwWvDaJQY,Oliver Tree,Coffee Chill,Life Goes On,2,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
3065,2sNvA9nxGE52pupLXhAuDm,Oliver Tree,US Pop 20s,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
3066,1tLemH0qMIlgVyijet0z3S,Oliver Tree,Relaxing Pop,Life Goes On,2,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
3067,6s2tPtqrO3yzNR84vcMMU0,Oliver Tree,Indie Chill Out,Cowboys Don't Cry,3,189969,False,0.608,0.638,8,-7.215,1,0.0561,0.217,0.0,0.324,0.457,87.956,4,alternative
3068,1v3rsZZAH13mnXEEz3AEL5,Dominic Fike;Zendaya,Autumn Vibe,"Elliot’s Song - From ""Euphoria"" An HBO Original Series",1,152144,False,0.341,0.266,4,-17.251,1,0.146,0.831,0.0,0.113,0.388,184.14,4,alternative
3069,5miFSFpVtDCmHp21YLkaHV,Oliver Tree,Here to Forever - All New Indie,Placeholder,1,159818,False,0.678,0.696,2,-4.361,1,0.0336,0.0346,0.0,0.374,0.421,82.489,4,alternative
3070,7CwwtOtObfhHMoYsh9gfTc,Oliver Tree,Internet Sensations,Placeholder,7,159818,False,0.678,0.696,2,-4.361,1,0.0336,0.0346,0.0,0.374,0.421,82.489,4,alternative
3071,1CWoIqBEZLUsB9wjZyjRkg,Oliver Tree,All Out Alternative,Placeholder,4,159818,False,0.678,0.696,2,-4.361,1,0.0336,0.0346,0.0,0.374,0.421,82.489,4,alternative
3072,1bOENKlPYEDXyH9kLFUsnj,Nickelback,Timeless Rock Hits,Animals,3,185906,False,0.569,0.963,7,-3.069,1,0.0593,0.000787,0.0256,0.22,0.82,76.995,4,alternative
3073,4D8xgk4Cin0beAmJlTzohD,Florence + The Machine,Sad Covers 2022,Stand By Me,3,245780,False,0.598,0.335,9,-6.791,1,0.0282,0.841,0.00016,0.194,0.245,107.988,4,alternative
3074,4FbHin5O4lPRgERdQEy6rB,Florence + The Machine,Fall Aesthetic,The Bomb,0,164566,False,0.589,0.197,11,-8.684,1,0.0338,0.909,0.000144,0.0876,0.307,110.699,4,alternative
3075,2cxo6cXWQCDdPTePV3d5Tu,Florence + The Machine,Helloween Party,Seven Devils,2,303253,False,0.37,0.767,9,-5.555,0,0.0363,0.00762,0.000125,0.0583,0.21,58.494,4,alternative
3076,4SmpAA1iwwFw9hQ5FmYLuq,Avenged Sevenfold,Metal,Hail to the King,0,305906,False,0.58,0.916,3,-4.357,0,0.0387,0.000295,0.0255,0.126,0.68,118.002,4,alternative
3077,0FrFqoPT7JB0ezIU9g2OLC,Deftones,Metal,Ohms,0,250222,False,0.112,0.978,4,-2.64,1,0.117,0.000108,0.0241,0.117,0.371,173.097,3,alternative
3078,1X19KuKnCG4l9kl2QXcNuD,Mon Laferte,Rock un sentimiento vol. I,Salvador,0,201986,False,0.499,0.495,10,-9.166,0,0.0286,0.263,4.48e-05,0.104,0.473,99.957,4,alternative
3079,06nOZkGMDu2cVCUvuKWjeI,Florence + The Machine,Helloween Party,Howl,1,214053,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,4,alternative
3080,7oex5ickCMbEeBYP9uuQFH,Florence + The Machine,Halloween Hits,Seven Devils,1,303253,False,0.37,0.767,9,-5.555,0,0.0363,0.00762,0.000125,0.0583,0.21,58.494,4,alternative
3081,2gBHPw488fjNjHIpBJl8Kk,Florence + The Machine,Pop & Halloween,Howl,1,214053,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,4,alternative
3082,5PbQBGeK9air60kXQlNHR4,Florence + The Machine,Halloween Hits,Girl With One Eye,1,218613,False,0.421,0.529,9,-6.302,0,0.131,0.435,0.0,0.148,0.212,133.894,3,alternative
3083,66qTw96JwPJvUYsWiyyVGH,Florence + The Machine,Helloween Party,Girl With One Eye,0,218613,False,0.421,0.529,9,-6.302,0,0.131,0.435,0.0,0.148,0.212,133.894,3,alternative
3084,6Fg7Zm99hVTt5Wv7NPQf11,Florence + The Machine,Happy Haunted Halloween Tunes,Howl,1,214053,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,4,alternative
3085,7MWBaRLGmvflqPoewBGbMj,Florence + The Machine,OO's Music Grandi Successi,You've Got The Love,0,168666,False,0.574,0.696,6,-4.697,1,0.0327,0.00481,0.0,0.102,0.401,109.877,4,alternative
3086,6vT20BVB14V8598mGV1vSS,Florence + The Machine,Pop & Halloween,Girl With One Eye,0,218613,False,0.421,0.529,9,-6.302,0,0.131,0.435,0.0,0.148,0.212,133.894,3,alternative
3087,4fvKqLGqlsj7giLICaxTXl,Julieta Venegas,Éxitos del Pop en Español de los Años 2000,Limón y Sal,0,205213,False,0.625,0.653,11,-5.967,1,0.0257,0.124,0.0,0.346,0.605,110.972,4,alternative
3088,29RiulWABWHcTRLkDqVCl1,Korn,Metal,Rotting in Vain,0,213000,True,0.498,0.946,2,-4.792,1,0.0602,0.000121,2.53e-05,0.359,0.31,106.276,4,alternative
3089,14jEv2xc6r43y0Nm2ymswN,Mon Laferte,tardes tranqui,Amor Completo,0,241880,False,0.389,0.418,4,-8.976,1,0.027,0.664,5.71e-05,0.108,0.347,175.567,3,alternative
3090,2vU6bm5hVF2idVknGzqyPL,The Offspring,Alternative Christmas 2022,Christmas (Baby Please Come Home),0,187355,False,0.437,0.878,0,-4.687,1,0.0452,0.0112,0.0,0.126,0.623,128.043,4,alternative
3091,0XgHNxz37RYVl1VDom3PNx,Florence + The Machine,Halloween & Alternative,Seven Devils,0,303253,False,0.37,0.767,9,-5.555,0,0.0363,0.00762,0.000125,0.0583,0.21,58.494,4,alternative
3092,6agwd0jyOXzwP7ajAwlSeN,Florence + The Machine,Halloween Scary Party,Howl,0,214053,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,4,alternative
3093,7BsPT8jICeKZdoTmLBMDxS,Mon Laferte,Rock un sentimiento vol. I,Tu Falta De Querer,0,278546,False,0.394,0.473,10,-7.935,1,0.0281,0.0247,0.00684,0.112,0.45,129.996,3,alternative
3094,4eCQkJy0Gq9i5lQqOJcVKN,Avenged Sevenfold,Metal Lives!,Hail to the King,0,305906,False,0.58,0.916,3,-4.357,0,0.0387,0.000295,0.0255,0.126,0.68,118.002,4,alternative
3095,4nzIpIeHWiuFQnOV5ZELnj,Deftones,Metal Lives!,Ohms,0,250222,False,0.112,0.978,4,-2.64,1,0.117,0.000108,0.0241,0.117,0.371,173.097,3,alternative
3096,4f2pSxIgf6TLd6O8GaC33a,Mon Laferte;Juanes,Alternativo diferente latino,Amárrame,0,207333,False,0.565,0.667,5,-4.679,0,0.0495,0.24,0.00166,0.106,0.78,180.041,4,alternative
3097,4kqgYiNDWcwo9KBq4rz87l,Mon Laferte,Rock un sentimiento vol. I,Cuando Era Flor,0,281600,False,0.568,0.642,4,-6.736,0,0.0603,0.374,0.00681,0.131,0.476,177.669,4,alternative
3098,0Zj4igNaBPjudrsnVLTstx,Mon Laferte;Guaynaa,Halloween 2022 Perreo Vol. 5,Plata Ta Tá,2,255506,False,0.813,0.796,4,-5.545,0,0.164,0.156,0.038,0.114,0.542,95.027,4,alternative
3099,0nI0q4NuoOIskGNRizI6vs,Korn,Metal Lives!,Rotting in Vain,0,213000,True,0.498,0.946,2,-4.792,1,0.0602,0.000121,2.53e-05,0.359,0.31,106.276,4,alternative
3100,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,83,153000,False,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,alternative
3101,22I3h5AOENlH4CqXJsEbFR,Justine Skye;Tyga,Collide (feat. Tyga),Collide (feat. Tyga),75,260169,True,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614,4,alternative
3102,1r1fPuhj9H4VdXr7OK6FL5,Linkin Park,LIVING THINGS,CASTLE OF GLASS,73,205400,False,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,4,alternative
3103,4vJfxpYeM088ddkHtSNqP1,Evanescence,Rock & Halloween,Haunted,3,185440,False,0.37,0.861,4,-4.588,0,0.0625,0.00959,0.00449,0.107,0.16,155.671,4,alternative
3104,7uCBGNn991AM68fR4tSDco,The Score,Carry On,Born For This,69,237375,False,0.411,0.675,5,-6.251,0,0.0591,0.063,0.0,0.092,0.545,130.134,4,alternative
3105,7oMO1B9CB4ZPYPLeVe32OY,R.E.M.,90's Music Grandi Successi,Losing My Religion,0,268426,False,0.666,0.854,9,-5.051,0,0.0295,0.179,1.2e-06,0.0986,0.803,125.637,4,alternative
3106,7yI7YDsXGrwUX8sFTXXnVV,Weezer,Los Clásicos del Pop 90s,Say It Ain't So,1,258825,False,0.635,0.551,3,-7.136,1,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,4,alternative
3107,7M62cpl1L8v53XwfCZ2GYD,Skillet,Rock - Best of 2022,Surviving the Game,4,238870,False,0.535,0.979,8,-3.593,1,0.0597,0.000666,0.0,0.084,0.432,103.996,4,alternative
3108,24TdORdiwpuE1EH7fh1fNQ,Evanescence,Halloween Scary Party,Bring Me To Life,0,235893,False,0.318,0.943,4,-3.188,0,0.107,0.00721,2.06e-06,0.242,0.298,189.985,4,alternative
3109,5cOdPnKDyhdFnB6X3V3JkK,Evanescence,Twisted Halloween Hits,Bring Me To Life,0,235893,False,0.318,0.943,4,-3.188,0,0.107,0.00721,2.06e-06,0.242,0.298,189.985,4,alternative
3110,3qmncUJvABe0QDRwMZhbPt,Weezer,90's Music Grandi Successi,Say It Ain't So,2,258825,False,0.635,0.551,3,-7.136,1,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,4,alternative
3111,6Byuke1Ac5qWJHFgzu7byM,Weezer,Rock - Best of 2022,Records,4,208920,False,0.658,0.773,11,-5.119,1,0.0244,0.000901,0.0,0.194,0.66,100.006,4,alternative
3112,6buVxRwPapLwrXwIsTiSfm,Disturbed,Metal,Hey You,0,268481,False,0.5,0.982,1,-3.496,1,0.0727,4.72e-05,4.28e-05,0.0447,0.507,103.033,4,alternative
3113,5SqrY9AWeRXqwgLCnLO2A0,Evanescence,Halloween 2022,Bring Me To Life,0,235893,False,0.318,0.943,4,-3.188,0,0.107,0.00721,2.06e-06,0.242,0.298,189.985,4,alternative
3114,3tqEDIkPhrv2AgXjQHKIwj,Disturbed,Rock Brandneu,Hey You,1,268481,False,0.5,0.982,1,-3.496,1,0.0727,4.72e-05,4.28e-05,0.0447,0.507,103.033,4,alternative
3115,6WwoaXSpEJ75vG1t674Cmm,Weezer,Fishing Music,Say It Ain't So,0,258825,False,0.635,0.551,3,-7.136,1,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,4,alternative
3116,0l6b6fXyv5BHHoJizlq2De,Mon Laferte,Alternativo diferente latino,Zombie,0,215813,False,0.727,0.468,11,-7.744,0,0.0549,0.69,0.0148,0.25,0.346,116.823,4,alternative
3117,1EeI6tvN2c7erYcOdM0Ljp,Disturbed,20's Rock,If I Ever Lose My Faith In You,0,274055,False,0.379,0.562,10,-8.078,1,0.0376,0.0741,1.17e-05,0.137,0.172,173.861,4,alternative
3118,11oRhYmKwkh6iUTC521TSk,Weezer,Top of the Rock,Records,0,208920,False,0.658,0.773,11,-5.119,1,0.0244,0.000901,0.0,0.194,0.66,100.006,4,alternative
3119,61c2cPZd0ZZr7W2X5d0bUR,Weezer,Rock Workout 2023,Buddy Holly,2,159226,False,0.555,0.921,8,-4.606,1,0.0369,0.00264,0.000205,0.117,0.775,121.141,4,alternative
3120,2q9STTSwMoEVLyvlNZyOdA,Weezer,Rock Brandneu,Records,0,208920,False,0.658,0.773,11,-5.119,1,0.0244,0.000901,0.0,0.194,0.66,100.006,4,alternative
3121,5oJgIQPvytf2nR7WX3vZLn,Weezer,Tek It - New Noise,Records,0,208920,False,0.658,0.773,11,-5.119,1,0.0244,0.000901,0.0,0.194,0.66,100.006,4,alternative
3122,65mksf4l4ShgosppsGHoVR,Weezer,90's Music Grandi Successi,Buddy Holly,0,159226,False,0.555,0.921,8,-4.606,1,0.0369,0.00264,0.000205,0.117,0.775,121.141,4,alternative
3123,0LvONfXemxF8eUKovfhZdH,Skillet,Metal,Feel Invincible,0,229933,False,0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.027,4,alternative
3124,7cEZSmCRCiOU1nsCuAtx0F,Weezer,Mirando las nubes,Island In The Sun,1,200053,False,0.654,0.794,4,-6.288,0,0.0284,0.00769,0.00134,0.165,0.678,114.62,4,alternative
3125,1l1ra0gsPlpnDOc4HdkKZU,Weezer,Emo Christmas 2022,O Come All Ye Faithful,0,124653,False,0.516,0.818,11,-6.076,1,0.0393,0.00701,0.0,0.337,0.769,121.907,4,alternative
3126,1cz1Z22xmJQaALUgUXzUaq,Disturbed,Timeless Rock Hits,Land of Confusion,1,287066,False,0.553,0.991,8,-3.703,1,0.0925,4.44e-05,0.0729,0.179,0.324,114.919,4,alternative
3127,03I89EqsberXEAapUd1yWu,Weezer;AJR,Here to Forever - All New Indie,All My Favorite Songs,0,170720,False,0.605,0.7,4,-6.47,1,0.0277,0.00998,0.0,0.116,0.588,84.962,4,alternative
3128,2Nmgl5ms85CE90Yu4lm8jL,Weezer,Alternative Christmas 2022,O Holy Night,0,244306,False,0.173,0.609,3,-7.724,1,0.0482,0.359,0.0,0.1,0.0988,197.819,3,alternative
3129,0PSKFp3zoNmJzDsOHeLV6l,The Smashing Pumpkins,Alternative Christmas 2022,Christmastime,0,196723,False,0.165,0.434,0,-8.163,1,0.0288,0.316,0.171,0.213,0.186,77.983,3,alternative
3130,06feZZKF0F6FRvSTHCR0a4,Mon Laferte,noches de lluvia,Amor Completo,0,241880,False,0.389,0.418,4,-8.976,1,0.027,0.664,5.71e-05,0.108,0.347,175.567,3,alternative
3131,2MCUHzFEXf39cyzcNyKw7B,Weezer;AJR,All Out Alternative,All My Favorite Songs,0,170720,False,0.605,0.7,4,-6.47,1,0.0277,0.00998,0.0,0.116,0.588,84.962,4,alternative
3132,6GwXhxrjTEVuBZC7jnB7f1,Disturbed,Metal Lives!,Hey You,0,268481,False,0.5,0.982,1,-3.496,1,0.0727,4.72e-05,4.28e-05,0.0447,0.507,103.033,4,alternative
3133,2YIm6Yfa0C3IxkRHDQdk1d,Skillet,Top of the Rock,Surviving the Game,0,238870,False,0.535,0.979,8,-3.593,1,0.0597,0.000666,0.0,0.084,0.432,103.996,4,alternative
3134,3BcoBRPyr5UqYdeoF9clb7,Mon Laferte,Café en casa,Antes De Ti,1,242600,False,0.518,0.598,7,-4.579,0,0.0251,0.239,3.92e-06,0.243,0.322,92.026,4,alternative
3135,3M1kaOBZv0cvlXK7xYCT1Z,Weezer,Rock n Roll Christmas,O Come All Ye Faithful,0,124653,False,0.516,0.818,11,-6.076,1,0.0393,0.00701,0.0,0.337,0.769,121.907,4,alternative
3136,0lpdGobBIXUFiPaZpDR1Bj,Skillet,Rock Brandneu,Surviving the Game,0,238870,False,0.535,0.979,8,-3.593,1,0.0597,0.000666,0.0,0.084,0.432,103.996,4,alternative
3137,6t1wUup2mF3IpJhMfAwoDl,Disturbed,Just Best Covers,If I Ever Lose My Faith In You,0,274055,False,0.379,0.562,10,-8.078,1,0.0376,0.0741,1.17e-05,0.137,0.172,173.861,4,alternative
3138,4fdy3vg2bCXU6L77vC6li8,The Smashing Pumpkins,Alternative Christmas 2022,Christmastime,0,196723,False,0.165,0.434,0,-8.163,1,0.0288,0.316,0.171,0.213,0.186,77.983,3,alternative
3139,1wmOubz5LefeGM4KDAcsfz,Weezer,Christmas Rock 2022,O Come All Ye Faithful,0,124653,False,0.516,0.818,11,-6.076,1,0.0393,0.00701,0.0,0.337,0.769,121.907,4,alternative
3140,08k0JhCj8oJLB7Xuclr57s,Weezer,Fiesta temática 90s,My Name Is Jonas,1,206120,False,0.261,0.947,11,-3.031,1,0.0487,0.000193,0.00326,0.31,0.552,185.942,3,alternative
3141,1Vl9pXCmq6m2FbpxqHptTY,The Smashing Pumpkins,Rock & Halloween,Bullet With Butterfly Wings - Remastered 2012,2,257812,False,0.395,0.751,10,-8.547,0,0.0618,5.71e-05,0.838,0.0725,0.455,121.561,4,alternative
3142,4yB8TeiQpL09df92fxn5sZ,Mon Laferte;Enrique Bunbury,Rock un sentimiento vol. I,Mi Buen Amor,0,227586,False,0.403,0.533,7,-4.633,1,0.0271,0.589,5.01e-06,0.136,0.283,98.741,3,alternative
3143,3xpTUiMi6HdL0dWEKQdUTT,Mon Laferte;Enrique Bunbury,noches de lluvia,Mi Buen Amor,0,227586,False,0.403,0.533,7,-4.633,1,0.0271,0.589,5.01e-06,0.136,0.283,98.741,3,alternative
3144,3kL8AhqrrhSlGXaT8y5ujT,Mon Laferte,Café en casa,Paisaje Japonés,1,204733,False,0.524,0.361,0,-6.21,1,0.0406,0.725,0.00385,0.0975,0.203,172.002,3,alternative
3145,4eMjf9FgbmFQ6yHZD5EsgX,Skillet,Metal Lives!,Feel Invincible,0,229933,False,0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.027,4,alternative
3146,6RYHGsmhxeZ5694zS1zDF6,Weezer,Rock n Roll Christmas,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,3,alternative
3147,22rUY52RY8r6fi66gtEono,Weezer,Alternative Christmas 2022,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,3,alternative
3148,3v8CoiN19zAzkTG0E7TBTN,Weezer,Christmas Rock 2022,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,3,alternative
3149,7mntHnF2frXuZwFAp8ouCB,Weezer,Alternative Christmas 2022,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,3,alternative
3150,2xql0pid3EUwW38AsywxhV,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,80,244013,False,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4,alternative
3151,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,73,347525,True,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,4,alternative
3152,2pgDBO0ZAgvye7joSmdDm8,Amaarae;Moliy,THE ANGEL YOU DON'T KNOW,SAD GIRLZ LUV MONEY,62,196420,True,0.883,0.492,1,-7.979,0,0.0725,0.447,0.0019,0.128,0.296,109.974,4,alternative
3153,5lYLBAH2uSvERWy8GAcBJz,Amaarae;Kali Uchis;Moliy;xxtristanxo,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) [Slowed + Reverb],SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) - Slowed + Reverb,57,138646,True,0.774,0.579,10,-6.2,0,0.0699,0.343,0.0,0.131,0.418,92.399,4,alternative
3154,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,alternative
3155,3SWqGa1J0M7hSBUDM0KePD,The Score,ATLAS,Legend,71,189120,False,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4,alternative
3156,0tFUl3tPqBzUM2aV0gitdq,Bella Poarch,Dolls,Dolls,68,132793,False,0.841,0.698,4,-6.588,0,0.261,0.211,0.0,0.203,0.372,118.018,4,alternative
3157,1EQFOouqdKYdpbNoOHRVO2,GAYLE,abcdefu (angrier),abcdefu (angrier),72,159836,True,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,3,alternative
3158,77loZpT5Y5PRP1S451P9Yz,Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,81,232800,False,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,4,alternative
3159,5KqmpRieVH3WGO1D9kcVzQ,GAYLE,Pop Hits Now,ur just horny,0,178787,True,0.529,0.897,1,-4.713,0,0.0726,0.221,0.0,0.0399,0.885,180.118,4,alternative
3160,3VEEFoeRv26mQmOzGU3Ckg,GAYLE,New Pop Icons,ur just horny,0,178787,True,0.529,0.897,1,-4.713,0,0.0726,0.221,0.0,0.0399,0.885,180.118,4,alternative
3161,22tX97U8EfPWu1cFoqKowu,GAYLE,Coffee Moment,god has a sense of humor,0,170771,False,0.494,0.45,2,-8.072,1,0.0687,0.622,0.0,0.242,0.368,65.252,4,alternative
3162,1xXhmlLGiXcm5tXvw41Hpt,GAYLE,Baddest of Them All,abcdefu,0,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative
3163,1wPUjPJB5U49st6rPTdhT1,GAYLE,Autumn Hits,abcdefu (chill),0,176765,True,0.554,0.429,1,-7.687,0,0.0334,0.0405,0.0,0.23,0.195,112.899,4,alternative
3164,2BTOY30m9duFKGrzQk8wWi,GAYLE,Daily Pop Mix,indieedgycool,0,146769,True,0.728,0.773,11,-6.253,0,0.0764,0.0364,0.0,0.235,0.547,98.011,4,alternative
3165,5KXEUYNvmPhOTsfxuWAXdp,GAYLE,20's Rock,abcdefu (angrier),0,159836,True,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,3,alternative
3166,7qvxyKLc49nd9kGXpT5S95,GAYLE,Indie Chill Out,god has a sense of humor,1,170771,False,0.494,0.45,2,-8.072,1,0.0687,0.622,0.0,0.242,0.368,65.252,4,alternative
3167,7vDYJttCFTBAMwd1kHRTnn,GAYLE,Back to School!,abcdefu,0,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative
3168,2FphpfBhQgCJ8dgId2WN9o,GAYLE,It's You - Fresh Hits,abcdefu,0,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative
